idImpianto,Mean,Standard_Deviation,Cluster_Originale,Cluster
3568,1.9020666666666655,0.02298206433066613,1,2
4092,1.898933333333336,0.04108658984594048,1,2
4130,1.8925888888888898,0.022098804911733157,1,2
4404,1.8212222222222219,0.02043228211212868,2,0
4405,1.8484444444444452,0.027122738547519586,0,1
4406,1.8721111111111097,0.02201350170187669,0,1
4407,1.8559999999999992,0.02250842538879934,0,1
4408,1.8559999999999992,0.02250842538879934,0,1
4836,1.9092111111111092,0.027967273990896914,1,2
5081,1.85568888888889,0.022928635961743733,0,1
5169,1.8724444444444421,0.03362586989346723,0,1
5360,1.8672000000000006,0.024769136286103145,0,1
6481,1.8537777777777777,0.034485879793309665,0,1
6482,1.8546444444444468,0.033626605006967826,0,1
6483,1.8514444444444424,0.036667688102899096,0,1
6824,1.816111111111109,0.03796048934827567,2,0
6832,1.851000000000001,0.027240089425516093,0,1
7078,1.9124444444444413,0.04181718132756288,1,2
7483,1.8623333333333338,0.050946105032450964,0,1
7554,1.8573888888888876,0.03457631014828883,0,1
7579,1.8896666666666675,0.026664793941732556,1,2
7592,1.9398888888888914,0.043308261257335015,1,2
7728,1.8999666666666697,0.03505002845051658,1,2
7815,1.908555555555556,0.05157978680637659,1,2
7865,1.8883333333333294,0.033020592825717024,1,2
7887,1.9002444444444473,0.034847439933409864,1,2
7915,1.8870111111111147,0.04725581694042132,1,2
7991,1.9246666666666676,0.03427417542587417,1,2
8052,1.8996444444444471,0.03500186547552203,1,2
8206,1.9026111111111137,0.025633849831395324,1,2
8255,1.9001888888888923,0.03466594820632626,1,2
8259,1.8902444444444437,0.03473602252595776,1,2
8447,1.916511111111112,0.04076659914063392,1,2
8977,1.8680000000000003,0.02694355314689911,0,1
8987,1.9177777777777771,0.0535865943695794,1,2
9407,1.9045555555555556,0.035303216618609634,1,2
9741,1.8727555555555548,0.03593355638406797,0,1
10056,1.8929999999999987,0.025605038127839007,1,2
11080,1.8780111111111126,0.05362803527345456,0,1
11846,1.906655555555557,0.032343368843007946,1,2
11847,1.868666666666668,0.04358770056391413,0,1
11848,1.9052666666666676,0.031702195720220185,1,2
11849,1.8231111111111118,0.021723204827212867,2,0
11850,1.9059444444444478,0.032260304028016,1,2
12750,1.9003000000000028,0.03620306337525609,1,2
13344,1.8953000000000007,0.020036735924717226,1,2
13470,1.8897444444444436,0.03480299648442115,1,2
14051,1.8847777777777799,0.03860423734609529,1,2
14887,1.9115111111111136,0.03486675904628952,1,2
14990,1.8457777777777766,0.03686683530719773,0,1
15325,1.899444444444444,0.01838178819724403,1,2
15587,1.8919999999999995,0.02517132308040197,1,2
15729,1.8624000000000012,0.019012000940860505,0,1
15790,1.9015555555555563,0.032552847650203026,1,2
16802,1.8388444444444445,0.02909145251166487,2,0
16804,1.893677777777779,0.024132977939320406,1,2
18263,1.9162555555555572,0.017443688605332314,1,2
18640,1.8892222222222226,0.04025139477736265,1,2
19084,1.9059666666666695,0.030088801156845386,1,2
19278,1.8777777777777769,0.03553215912500808,0,1
20721,1.8804666666666658,0.03538907341050247,0,1
20964,1.9030555555555582,0.026028230616269944,1,2
21404,1.874111111111112,0.04198031760441187,0,1
21961,1.8858888888888892,0.02936192001668433,1,2
22008,1.8963111111111117,0.037811372299297145,1,2
22133,1.8138555555555558,0.033234123897899356,2,0
22172,1.888222222222223,0.03582817226137154,1,2
22433,1.8673333333333326,0.0452521028128944,0,1
23059,1.8723333333333323,0.020706618385043486,0,1
23279,1.900677777777781,0.035267780686581394,1,2
23431,1.8973555555555583,0.04147730152532493,1,2
23578,1.8968888888888904,0.04196827170866384,1,2
23637,1.8786111111111128,0.02445619539367445,0,1
23645,1.8630000000000004,0.04099328528188793,0,1
23659,1.857222222222223,0.01686548085423135,0,1
23663,1.8984333333333356,0.043758543307102334,1,2
23668,1.8422111111111115,0.036028233137655005,2,0
23670,1.9027777777777806,0.025972231401922428,1,2
23679,1.9231111111111103,0.037503391440482786,1,2
23710,1.857222222222223,0.01686548085423135,0,1
23794,1.896111111111113,0.04376249598607622,1,2
23796,1.8834777777777776,0.0219561502621039,1,2
23892,1.8908888888888877,0.03428382671220438,1,2
23951,1.8408888888888875,0.04749676380328738,2,0
23991,1.8541111111111124,0.03623408428427716,0,1
24029,1.9256222222222215,0.024190525482017368,1,2
24134,1.8607777777777772,0.039790964413278895,0,1
24183,1.9011666666666693,0.033716014932393,1,2
24259,1.8138555555555558,0.033234123897899356,2,0
24278,1.8660222222222216,0.030451648090222255,0,1
24355,1.8594444444444425,0.03297636576589503,0,1
25451,1.8593333333333355,0.04468239982288984,0,1
26050,1.9003000000000028,0.03530427927081164,1,2
26165,1.9007777777777783,0.04046298843645251,1,2
26213,1.8741111111111126,0.023571285351749148,0,1
26570,1.854144444444444,0.037078889814995936,0,1
27596,1.8948888888888897,0.01169792495230513,1,2
27626,1.8545777777777788,0.034342288203484436,0,1
28132,1.9484888888888903,0.043153825834389495,1,2
28150,1.8559999999999992,0.02250842538879934,0,1
28199,1.8525555555555548,0.03857463540824338,0,1
28363,1.8910000000000007,0.023136138374335626,1,2
28667,1.8231111111111087,0.029562139636284072,2,0
30110,1.89111111111111,0.033904838554448924,1,2
31086,1.8659999999999994,0.03427253625824961,0,1
31237,2.0300000000000007,4.465771240496015e-16,1,2
31394,1.8162222222222228,0.04591217257451299,2,0
31671,1.895111111111112,0.018350179526075486,1,2
31720,1.8565333333333343,0.042169321614098323,0,1
32860,1.8954444444444445,0.014938910141129587,1,2
33139,1.8510000000000015,0.03445237716232123,0,1
33638,1.873333333333334,0.026692169453087937,0,1
33745,1.8631111111111105,0.03467001568380964,0,1
33906,1.8988555555555584,0.036319295986071164,1,2
35326,1.854666666666667,0.029983141330503452,0,1
35353,1.8532222222222208,0.03547361031406457,0,1
35914,1.810444444444446,0.034235178409044796,2,0
36042,1.8909222222222208,0.03470363377592371,1,2
36298,1.8967444444444466,0.04355457924585423,1,2
36393,1.8881111111111124,0.03479617841745592,1,2
36491,1.8845555555555538,0.01994999992177699,1,2
37197,1.8929666666666676,0.04349672595195326,1,2
37655,1.8351999999999995,0.04315537645362318,2,0
37656,1.8601111111111135,0.030221818312642066,0,1
37761,1.8769555555555573,0.025338566382435777,0,1
38292,1.891333333333334,0.023177381457704732,1,2
38390,1.838555555555557,0.027961092997198858,2,0
38508,1.8883666666666667,0.033764368560209486,1,2
38539,1.8643333333333332,0.06446321135327909,0,1
40585,1.902622222222221,0.023235761752516855,1,2
40670,1.9011333333333362,0.03601753630314425,1,2
40872,1.879555555555555,0.032086999401420624,0,1
41172,1.8604444444444466,0.026204087129151458,0,1
41298,1.8728444444444432,0.03436221831373376,0,1
41669,1.811588888888889,0.039963999092566586,2,0
42097,1.893388888888891,0.05624798512135556,1,2
42942,1.8891444444444434,0.03653336511384931,1,2
43795,1.8588444444444459,0.062339936360396045,0,1
44267,1.8401555555555555,0.031006310017863203,2,0
44769,1.8447777777777763,0.041919606787379236,2,0
44791,1.867999999999998,0.026818155849089788,0,1
44805,1.8968333333333365,0.03854407953779317,1,2
44940,1.8906666666666656,0.03429220109849723,1,2
45612,1.8768888888888882,0.025812393349648053,0,1
46740,1.8133333333333328,0.03597908256226766,2,0
46997,1.89388888888889,0.04422222849578687,1,2
47466,1.8670000000000029,0.013998394771536329,0,1
47538,1.8304444444444468,0.034659211240955765,2,0
48083,1.8680000000000008,0.026650041634134928,0,1
48237,1.9001333333333312,0.02262801286662475,1,2
48430,1.852,0.03275547814205446,0,1
48698,1.8986333333333365,0.03671464515066604,1,2
48895,1.8697777777777784,0.03604702851372306,0,1
48951,1.8868666666666651,0.040957966943926505,1,2
49111,1.9028888888888917,0.025226811332142534,1,2
49214,1.848811111111112,0.026808892724031707,0,1
49410,1.9074000000000013,0.023308772520330097,1,2
50275,1.9405000000000023,0.03652927100900647,1,2
50465,1.8551777777777756,0.037324744865516596,0,1
50541,1.8801111111111124,0.03685515055385155,0,1
50544,1.8800888888888898,0.022908535499930157,0,1
50751,1.8901555555555543,0.03483699154670174,1,2
50770,1.8539999999999985,0.04053712405889562,0,1
51092,1.8986666666666685,0.03737901832894966,1,2
51133,1.8769333333333333,0.027126337796451457,0,1
51498,1.8902111111111117,0.022555048486640566,1,2
51499,1.8682222222222205,0.026403429202623074,0,1
51566,1.9064666666666663,0.022362790121594197,1,2
51840,1.8681111111111088,0.04943829304270408,0,1
51875,1.883555555555556,0.049608831922794465,1,2
52030,1.8965333333333332,0.029636448861555514,1,2
52336,1.9006444444444472,0.030840405100558285,1,2
52858,1.8990000000000002,0.03311539239512567,1,2
52905,1.9007555555555575,0.036682148587136885,1,2
52983,1.8778888888888872,0.020413943485745267,0,1
53067,1.8764444444444421,0.022363750319201302,0,1
53908,1.867777777777778,0.02726597162195746,0,1
53934,1.8913222222222226,0.03230153848138922,1,2
54395,1.8716999999999981,0.045590618490891494,0,1
55021,1.8914333333333337,0.032146801612797864,1,2
